word,negative,positive
abuse,1,NA
abused,1,NA
abuses,1,NA
accuses,2,NA
anger,1,NA
attack,6,NA
attacks,2,NA
attraction,NA,1
authentic,NA,1
award,NA,2
awards,NA,1
bad,2,NA
benefit,NA,1
blame,1,NA
blunder,1,NA
boost,NA,1
bore,1,NA
breach,2,NA
break,2,NA
breaking,1,NA
burn,1,NA
burning,1,NA
busts,1,NA
cave,1,NA
clash,1,NA
clean,NA,1
collapse,2,NA
compatible,NA,3
complaint,1,NA
conflict,1,NA
controversial,1,NA
corruption,2,NA
cozy,NA,1
crisis,8,NA
critical,2,NA
criticizing,3,NA
critics,1,NA
crush,1,NA
damaged,1,NA
dangerous,1,NA
dark,1,NA
dead,5,NA
deadly,1,NA
death,2,NA
debt,3,NA
delaying,1,NA
denies,2,NA
desperation,1,NA
devastates,1,NA
devastating,1,NA
die,2,NA
died,1,NA
dignity,NA,1
diplomatic,NA,1
disaster,6,NA
dispute,1,NA
disputed,1,NA
dissident,2,NA
doomsday,1,NA
doubt,1,NA
ease,NA,1
easing,NA,1
easy,NA,11
efficient,NA,1
encouraging,NA,1
evade,1,NA
excessive,1,NA
expensive,2,NA
extremism,2,NA
fail,1,NA
failed,1,NA
fails,1,NA
faint,1,NA
faithful,NA,1
falls,1,NA
false,1,NA
famine,1,NA
faster,NA,1
fear,2,NA
fears,3,NA
fierce,1,NA
fine,NA,1
flair,18,NA
flees,1,NA
free,NA,7
freed,NA,1
freedom,NA,3
fresh,NA,3
frozen,1,NA
fun,NA,3
genocide,3,NA
grand,NA,1
guilty,2,NA
happy,NA,11
hard,1,NA
hardball,1,NA
harmed,1,NA
harms,1,NA
hassle,11,NA
helping,NA,1
holy,NA,1
hostage,1,NA
hostile,2,NA
hurt,2,NA
hypocrisy,1,NA
illegal,1,NA
imposing,1,NA
imprison,1,NA
infected,1,NA
insulting,1,NA
interference,1,NA
isolation,1,NA
issue,1,NA
kill,2,NA
killed,6,NA
kills,3,NA
lag,1,NA
lags,3,NA
leverage,NA,1
lies,1,NA
loss,1,NA
lost,2,NA
lying,1,NA
majestic,NA,1
massacre,1,NA
menacing,1,NA
mocking,1,NA
monumental,NA,1
murder,1,NA
mystery,1,NA
outbreak,2,NA
overrun,1,NA
peace,NA,2
positive,NA,3
powerful,NA,1
prisoner,2,NA
progress,NA,3
promises,NA,1
propaganda,1,NA
protest,8,NA
protests,13,NA
proud,NA,1
punishable,1,NA
racism,1,NA
racist,1,NA
rapid,NA,1
ravage,2,NA
recession,1,NA
recommendations,NA,1
reconcile,NA,1
recover,NA,1
reform,NA,3
reforms,NA,1
refusing,1,NA
rejects,1,NA
renaissance,NA,1
revenge,1,NA
revolt,1,NA
rigid,1,NA
risk,2,NA
robust,NA,1
sack,1,NA
satirical,2,NA
severe,1,NA
shake,2,NA
shortage,1,NA
slow,1,NA
split,1,NA
stampede,1,NA
strike,5,NA
stronger,NA,2
struck,2,NA
subpoenas,1,NA
succeeds,NA,1
suffer,1,NA
suffers,1,NA
support,NA,2
supreme,NA,3
syndrome,1,NA
terror,3,NA
terrorism,1,NA
threat,3,NA
threaten,2,NA
threatening,1,NA
threats,7,NA
toll,3,NA
top,NA,5
tortured,1,NA
tranquility,NA,2
trapped,1,NA
trophy,NA,1
unable,1,NA
uncontrolled,1,NA
undocumented,1,NA
unlimited,NA,1
violent,1,NA
virus,6,NA
vulnerable,2,NA
warm,NA,1
waste,1,NA
win,NA,2
winner,NA,1
winning,NA,1
worst,1,NA
worth,NA,3
